country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery
US,theres yingyang rich crème brûlée lemon curd toast oak amid good acidity fresh apple pear fruit invite aromas boot creamy crisp itll serve well aside manner seafood like freshcaught trout ,Charles Heintz Vineyard,90,45.0,California,Sonoma Coast,Sonoma,Virginie Boone,@vboone,Landmark 2012 Charles Heintz Vineyard Chardonnay (Sonoma Coast),Chardonnay,Landmark
US,alcohol lowmoderate range immaculately fresh wine flush juicy gooseberry grapefruit carry varietal hallmarks fresh herbs notably chive balance lick minerality ,,90,13.0,Washington,Yakima Valley,Columbia Valley,Paul Gregutt,@paulgwine ,Mercer 2013 Sauvignon Blanc (Yakima Valley),Sauvignon Blanc,Mercer
France,perfume example syrah youll find southern rhône hint herbs spice violets accent blueberry fruit charm wine medium body—not rich layer supple silky easily accessible drink end 2015 ,Les Piliers,90,15.0,Rhône Valley,Costières de Nîmes,,Joe Czerwinski,@JoeCz,Michel Gassier 2012 Les Piliers Syrah (Costières de Nîmes),Syrah,Michel Gassier
Italy,intense aromas blue flower red berry licorice lead nose fullbodied wine menthol licorice cake spice blast orange zest complement juicy red cherry black raspberry flavor ,,90,22.0,Piedmont,Langhe,,Kerin O’Keefe,@kerinokeefe,Nada Fiorenzo 2011 Nebbiolo (Langhe),Nebbiolo,Nada Fiorenzo
US,boushey red willow vineyards contribute 100 varietal cabernet franc theres excellent concentration brambly bright blackberry fruit sharp acidity underscore pure varietal continue improve 2019–2021 ,Outcast,90,35.0,Washington,Yakima Valley,Columbia Valley,Paul Gregutt,@paulgwine ,Barrage Cellars 2010 Outcast Cabernet Franc (Yakima Valley),Cabernet Franc,Barrage Cellars
US,fresh gush fruit flavor raspberry red cherry boysenberry fill expressive wellbalanced wine sweetly fruity aroma fullflavored fullbodied firm dry texture heavy crave rib woodfired pizza ,California Series,90,20.0,California,Yolo County,Central Valley,Jim Gordon,@gordone_cellars,Berryessa Gap 2011 California Series Zinfandel (Yolo County),Zinfandel,Berryessa Gap
US,distinct crush lava rock aromas meet dust cinnamon cola dr pepper blend 28 syrah 22 grenache 17 cinsault 17 mourvèdre 16 carignane light red fruit cranberry slight strawberry show palate dive serious tannins quickly ,Le Cigare Volant,90,38.0,California,Central Coast,Central Coast,Matt Kettmann,@mattkettmann,Bonny Doon 2010 Le Cigare Volant Red (Central Coast),Rhône-style Red Blend,Bonny Doon
Italy,black currant bell pepper leather aromas lead way blend sangiovese cabernet sauvignon dense palate deliver ripe black cherry grill pepper mocha crack black pepper alongside brace tannins ,Sant'Ercolano,90,70.0,Tuscany,Vino Nobile di Montepulciano,,Kerin O’Keefe,@kerinokeefe,Carpineto 2006 Sant'Ercolano  (Vino Nobile di Montepulciano),Red Blend,Carpineto
Spain,black color deep resiny aromas licorice bake spice black fruit big tempranillo plenty size tannic bite flavor earthy oaky loamy plum blackberry finish licorice spice bake note drink 2018 ,Antiguos Viñedos,90,60.0,Northern Spain,Ribera del Duero,,Michael Schachner,@wineschach,Casajús 2011 Antiguos Viñedos  (Ribera del Duero),Tempranillo,Casajús
Spain,nose fall somewhere smoky gritty dusty whitefruit scent prop things peachy acidity citric tang let know “nature” cava nectarine rhubarb greenherb flavor finish razor crisp dry ,Reserva Brut Nature,90,25.0,Catalonia,Cava,,Michael Schachner,@wineschach,Castellroig 2010 Reserva Brut Nature Sparkling (Cava),Sparkling Blend,Castellroig
France,dense almost point chewiness concentrate blend syrah carignan grenache earthy plummy note pick hint dark chocolate licorice end rich velvety ,Les Cimels,90,17.0,Rhône Valley,Costières de Nîmes,,Joe Czerwinski,@JoeCz,Château d'Or et de Gueules 2010 Les Cimels Red (Costières de Nîmes),Rhône-style Red Blend,Château d'Or et de Gueules
US,come warm 2013 vintage aromatic offer note pineapple kiwi herbs oak spice 40 barrel ferment creamy feel tart vibrant acidity keep palate fresh lively ,Horse Heaven Vineyard,90,15.0,Washington,Horse Heaven Hills,Columbia Valley,Sean P. Sullivan,@wawinereport,Chateau Ste. Michelle 2013 Horse Heaven Vineyard Sauvignon Blanc (Horse Heaven Hills),Sauvignon Blanc,Chateau Ste. Michelle
Italy,open aromas underbrush perfume berry crush violets balance rosso display pedigree savory palate deliver dense wild cherry layer orange peel white pepper mocha cake spice alongside supple tannins energize minerality signal close enjoy now–2017 ,,90,38.0,Tuscany,Rosso di Montalcino,,Kerin O’Keefe,@kerinokeefe,Citille di Sopra 2012  Rosso di Montalcino,Sangiovese,Citille di Sopra
Spain,2008 holdover show mix jammy compose berry aromas well staunch note dry cheese leather palate firm first loamy layer flavor profile bake berry blend brine cardamom finish readytodrink rdd deliver licorice earthy bake note ,Reserva,90,27.0,Northern Spain,Ribera del Duero,,Michael Schachner,@wineschach,Condado de Oriza 2008 Reserva  (Ribera del Duero),Tempranillo,Condado de Oriza
US,one string great value make terravant near santa barbara attractively oaky fullbodied fullflavored tannic enough make good pair rich meat cheese course deep color slightly tawny rim smell like wood smoke grill bread taste deep blackberry deliver cherry flavor linger finish ,,90,10.0,California,California,California Other,Jim Gordon,@gordone_cellars,Cookies & Cream 2010 Merlot (California),Merlot,Cookies & Cream
US,rich cherry spicy black pepper introduce nose wine adelaida district flavor explore nuanced overly jammy side grape tart acidity good tannic backbone ensure long life decent better drink 2018–2022 ,Reserve,90,56.0,California,Paso Robles,Central Coast,Matt Kettmann,@mattkettmann,Daou 2012 Reserve Zinfandel (Paso Robles),Zinfandel,Daou
Italy,ripe black plum forest floor mint spice note lead nose savory mediumbodied red succulent straightforward palate doles fleshy black cherry crush raspberry accent black pepper cleave alongside round tannins drink 2015 ,,90,18.0,Tuscany,Rosso di Montepulciano,,Kerin O’Keefe,@kerinokeefe,Dei 2012  Rosso di Montepulciano,Red Blend,Dei
France,blend white bordeaux local gers grapes smooth medium sweet wine three years age become mature rich smoky flavor well dry apricot bitter oranges acidity keep everything line ready drink ,Quadrille,90,32.0,Southwest France,Gers,,Roger Voss,@vossroger,Domaine de Gensac 2011 Quadrille White (Gers),White Blend,Domaine de Gensac
France,chardonay pinot noir present apple pear flavor wine lively mousse bring fruit acidity give tangy bright wine thats ready drink ,Brut,90,24.0,France Other,Crémant de Jura,,Roger Voss,@vossroger,Domaine Rolet Père et Fils 2008 Brut Sparkling (Crémant de Jura),Sparkling Blend,Domaine Rolet Père et Fils
France,wine come disaster shrivel duras grapes especially hot period rather discard domaine rotier make wine wood age many character late harvest rich sweet lightly tannic flavor sufficient acidity balance surprise success ,Noces de Feu,90,25.0,France Other,Vin de Liqueur,,Roger Voss,@vossroger,Domaine Rotier NV Noces de Feu Duras (Vin de Liqueur),Duras,Domaine Rotier
US,ebulliently peachy floral nose savory note dry reeds savory herbs overwhelm fruit flavor dry lightbodied riesling crisp refreshingly compose finish bite short drink ,Zero Degree Dry,84,16.0,New York,Seneca Lake,Finger Lakes,Anna Lee C. Iijima,,Three Brothers 2014 Zero Degree Dry Riesling (Seneca Lake),Riesling,Three Brothers
US,red apple spice honey aromas lead mediumsweet fruit flavor bring appeal concentration doesnt seem ,Dessert Wine Estate Wilridge Vineyard,84,40.0,Washington,Naches Heights,Columbia Valley,Sean P. Sullivan,@wawinereport,Wilridge 2014 Dessert Wine Estate Wilridge Vineyard Pinot Gris (Naches Heights),Pinot Gris,Wilridge
US,wine unusual blend touriga 38 tinto cão 20 tempranillo 18 petit verdot 15 souzão alcohol aromas show prominently along dark fruit fruit flavor seem dry juxtapose sweetness wine tannins real sense grip ,Vintage Estate Dessert Wine Wilridge Vineyard,84,20.0,Washington,Naches Heights,Columbia Valley,Sean P. Sullivan,@wawinereport,Wilridge 2014 Vintage Estate Dessert Wine Wilridge Vineyard Red (Naches Heights),Red Blend,Wilridge
US,wine tightly wind thickly color full body style show plenty oak influence age entirely french oak 16 months 42 new cranberry sour cherry dominate term fruit underlie agenda cleave tea ,Estate Grown,84,38.0,California,Sonoma Mountain,Sonoma,Virginie Boone,@vboone,Belden Barns 2013 Estate Grown Pinot Noir (Sonoma Mountain),Pinot Noir,Belden Barns
France,base heart hautmédoc property produce wine show dry character bitter extraction much wood hint juicy fruit need time come could well stay dry firm always ,,84,20.0,Bordeaux,Haut-Médoc,,Roger Voss,@vossroger,Château du Retout 2013  Haut-Médoc,Bordeaux-style Red Blend,Château du Retout
France,producer probably use much wood fruit density wine toastiness allow fruit show ,,84,18.0,Bordeaux,Médoc,,Roger Voss,@vossroger,Château la Gravette Lacombe 2013  Médoc,Bordeaux-style Red Blend,Château la Gravette Lacombe
France,wine lean acidity play redcurrant fruit leave character thats light tight wine soften likely show weight richness ,,84,25.0,Bordeaux,Médoc,,Roger Voss,@vossroger,Château Méric 2013  Médoc,Bordeaux-style Red Blend,Château Méric
Chile,prickly aromas juniper cherry sharp lean towards green malbec feel tight lean plum herbal aromas qualify basic light racy finish pinch taste generic ,Reserva,84,13.0,Maule Valley,,,Michael Schachner,@wineschach,Apaltagua 2014 Reserva Malbec (Maule Valley),Malbec,Apaltagua
US,challenge mix substantially pucker tannins herbaceous note dot black peppercorns fruit elusive ,You be the judge!,84,65.0,California,Napa Valley,Napa,Virginie Boone,@vboone,In Re 2011 You be the judge! Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,In Re
New Zealand,despite ripe honey aromas light body quite lean palate underripe pineapple flavor show tart herbal edge finish ,,84,16.0,Marlborough,,,Joe Czerwinski,@JoeCz,Chasing Venus 2014 Sauvignon Blanc (Marlborough),Sauvignon Blanc,Chasing Venus
France,soft jammy fruity wine ready drink blackcurrant flavor ripe round lightest tannins give structure wine immediately accessible ,,84,14.0,Bordeaux,Bordeaux,,Roger Voss,@vossroger,Château les Joyeuses 2014  Bordeaux,Bordeaux-style Red Blend,Château les Joyeuses
France,enthusiastic use wood leave wine bereft fruit unbalance ,,84,20.0,Bordeaux,Médoc,,Roger Voss,@vossroger,Château Monfort Bellevue 2012  Médoc,Bordeaux-style Red Blend,Château Monfort Bellevue
France,wine structure stalky without fruit weight reflect difficult vintage smoky character come acidity leave dry aftertaste 2016 soften little although always miss fruit blend 55 merlot 25 cabernet ssauvignon 20 cabernet franc ,,84,15.0,Bordeaux,Bordeaux Supérieur,,Roger Voss,@vossroger,Château Vrai Caillou 2013  Bordeaux Supérieur,Bordeaux-style Red Blend,Château Vrai Caillou
Chile,prickly aromas nettle simple well dilute feel basic fresh green citrusy flavor end pithy note oily feel ,Reserva Casillero del Diablo,84,11.0,Chile,,,Michael Schachner,@wineschach,Concha y Toro 2015 Reserva Casillero del Diablo Sauvignon Blanc (Chile),Sauvignon Blanc,Concha y Toro
US,zinfandeldominant blend also contain cabernet franc petite sirah sizable amount round handful merlot relatively light body mute nose flavor lean towards overripe dry fruit fresh ,,84,27.0,California,Napa Valley,Napa,Virginie Boone,@vboone,Experience 2012 Red (Napa Valley),Red Blend,Experience
Italy,easygoing simple red offer hint dark berry flavor note dark spice fleetingly appear background uberinformal rather dilute short clean finish ,,84,11.0,Sicily & Sardinia,Terre Siciliane,,Kerin O’Keefe,@kerinokeefe,Cantine Grasso 2014 Nero d'Avola (Terre Siciliane),Nero d'Avola,Cantine Grasso
Italy,informal rosato offer delicate aromas flavor wild red berry blood orange rather lean dilute brace acidity ,Frà,84,10.0,Southern Italy,Basilicata,,Kerin O’Keefe,@kerinokeefe,Grifalco 2014 Frà Rosato (Basilicata),Rosato,Grifalco
US,uncomplicated combination red black berry bramble overlay coconut shave provide ripen fruit atop sweeten tannins dull oak wine make medium body enjoyable ,Las Viñas del Señor,84,100.0,California,Napa Valley,Napa,Virginie Boone,@vboone,Madrigal 2012 Las Viñas del Señor Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Madrigal
US,pronounce note butter cheese can cream corn dominate savory chardonnay rather fat creamtextured wine sunny tangerine acidity fresher note apple pear flavor get peek midpalate ,Proprietor's Special Reserve,84,25.0,New York,Hudson River Region,New York Other,Anna Lee C. Iijima,,Millbrook 2013 Proprietor's Special Reserve Chardonnay (Hudson River Region),Chardonnay,Millbrook
Chile,aromas corn melon waxy oily feel pinch juicy crisp minerally stalky flavor corn citrus apple lean towards bitter finish ,Medalla Real Gran Reserva,84,18.0,Leyda Valley,,,Michael Schachner,@wineschach,Santa Rita 2014 Medalla Real Gran Reserva Chardonnay (Leyda Valley),Chardonnay,Santa Rita
US,aromas like green apples lemons herbal flavor make wine refresh balance toward lean side rather light body crisp texture ,,84,13.0,California,Lodi,Central Valley,Jim Gordon,@gordone_cellars,Scotto Family Cellars 2012 Chardonnay (Lodi),Chardonnay,Scotto Family Cellars
US,34 months previously use french barrel wine brownish rim smell like pepper cleave cinnamon taste like dry fruit considerable tannins contribute astringent mouthfeel ,Sacrlet's Flirtation,84,28.0,California,Mendocino,,Jim Gordon,@gordone_cellars,Spicy Vines 2011 Sacrlet's Flirtation Zinfandel (Mendocino),Zinfandel,Spicy Vines
US,meritage mostly cabernet sauvignon merlot smaller additions malbec petit verdot cabernet franc taste quite ripe burn sage cedar undertone tannins hit back palate power much finesse ,,83,11.0,California,Napa Valley,Napa,Virginie Boone,@vboone,Kirkland Signature 2012 Meritage (Napa Valley),Meritage,Kirkland Signature
France,fresh wine plenty acidity well firm tannins still young wait fill riper fruit flavor aftertaste repeat acidity ,La Tour du Gouverneur,83,12.0,Bordeaux,Bordeaux,,Roger Voss,@vossroger,Les Vignerons Réunis de Monségur 2014 La Tour du Gouverneur  (Bordeaux),Bordeaux-style Red Blend,Les Vignerons Réunis de Monségur
Italy,pale color onion skin rosé mute aromas damp earth dry rise petal lean dilute palate reveal suggestions red berry alongside brisk acidity ,,83,25.0,Southern Italy,Campania,,Kerin O’Keefe,@kerinokeefe,Nugnes 2014 Rosato (Campania),Rosato,Nugnes
US,aromas cinnamon kelp dry fruit unusual dont seem harmony gamy flavor bring appeal dont entirely come together ,,83,17.0,Washington,Columbia Valley (WA),Columbia Valley,Sean P. Sullivan,@wawinereport,Barnard Griffin 2013 Merlot (Columbia Valley (WA)),Merlot,Barnard Griffin
Italy,lean red initially open sulfur aroma burn reveal steep prune dry violet hint resin dilute fleet palate offer hint black cherry walnut skin ,Caporosso,83,14.0,Sicily & Sardinia,Sicilia,,Kerin O’Keefe,@kerinokeefe,Cantine Grasso 2013 Caporosso Nero d'Avola (Sicilia),Nero d'Avola,Cantine Grasso
France,lean tannic wine chocolate bitter coffee flavor overextraction fruit suppress stage bitter aftertaste ,,83,30.0,Bordeaux,Médoc,,Roger Voss,@vossroger,Château les Lattes 2013  Médoc,Bordeaux-style Red Blend,Château les Lattes
Chile,blocky stewy raisiny aromas nonspecific black fruit jumble green feel awkward jammy little structural integrity flavor prune raisin oak finish soft loamy ,Reserva Casillero del Diablo,83,11.0,Central Valley,,,Michael Schachner,@wineschach,Concha y Toro 2014 Reserva Casillero del Diablo Carmenère (Central Valley),Carmenère,Concha y Toro
US,coffee grind caramel mingle hint popcorn dry herbs curious blend white grapes age sherrystyle solera whiff dry fruit caramel entice palate juxtapose craggy acidity mouthfeel thats dampen flat ,Meleau White Specialty Wine,83,45.0,New York,New York,New York Other,Anna Lee C. Iijima,,Ports of New York NV Meleau White Specialty Wine White (New York),White Blend,Ports of New York
US,spicy sharp hightoned fruit flavor berry currant acids strong provide good focus spicypeppery note resonate finish ,Narcissa Red,87,24.0,Washington,Columbia Valley (WA),Columbia Valley,Paul Gregutt,@paulgwine ,Whitman Cellars 2004 Narcissa Red Red (Columbia Valley (WA)),Red Blend,Whitman Cellars
Austria,focus full round soft pinot blanc pear flavor mineral texture easydrinking freshness ally attractive acidity ,Steierische Klassik,87,15.0,Südoststeiermark,,,Roger Voss,@vossroger,Winkler-Hermaden 2007 Steierische Klassik Weissburgunder (Südoststeiermark),Weissburgunder,Winkler-Hermaden
Australia,wine boast admirable complexity come across bite angular acids maybe touch prominent still flavor mint pepper meat layer plum raspberry fruit offer lot like acids may actually make wine versatile food many unctuous shiraz ,Old Vine,87,19.0,South Australia,Clare Valley,,Joe Czerwinski,@JoeCz,Fire Block 2004 Old Vine Shiraz (Clare Valley),Shiraz,Fire Block
Greece,white fox refresh crisp white offer balance acidity spice creamy pear flavor theres body wine weight without heavy lemon acidity keep aloft ,White Fox,87,15.0,Corinth,,,Susan Kostrzewa,@suskostrzewa,Palivou 2006 White Fox Roditis (Corinth),Roditis,Palivou
Austria,manfred felsner obviously enjoy spicy character grüner veltliner like win varietal spice spade also good fresh acidity emphasize green fruit character wine bring crispness year screwcap ,Rohrendorfer Leithen Alte Reben,87,23.0,Kremstal,,,Roger Voss,@vossroger,Felsner 2007 Rohrendorfer Leithen Alte Reben Grüner Veltliner (Kremstal),Grüner Veltliner,Felsner
US,old vine petite sirah fortify brandy port style sweet wine could benefit time bottle quite rich chocolate black currant spice flavor wrap smooth thick tannins burn alcohol finish ,L'Anima,87,60.0,California,Mendocino,,,,Gemella 2005 L'Anima Petite Sirah (Mendocino),Petite Sirah,Gemella
Austria,big ripe wine full berry fruit rhubarb edge tannins spice red plum skin juicy rich quality enhance acidity round vanilla keep year screwcap ,,87,16.0,Burgenland,,,Roger Voss,@vossroger,Gunter Triebaumer 2006 Blaufränkisch (Burgenland),Blaufränkisch,Gunter Triebaumer
Austria,highly aromatic softly sweet wine bring together lychees mango pearskin flavor give freshness acidity light poise delicate leave delicious lift ,Spätlese,87,21.0,Burgenland,,,Roger Voss,@vossroger,Gunter Triebaumer 2006 Spätlese Traminer (Burgenland),Traminer,Gunter Triebaumer
Greece,bonedry earthy minerality assyrtiko blend well crisp fresh fruit flavor sauvignon blanc white blend clean simple flavor citrus spice slate give wine quaffable foodfriendly edge ,Ambelonas at Agios Pavlos,87,13.0,Halkidiki,,,Susan Kostrzewa,@suskostrzewa,Tsantali 2006 Ambelonas at Agios Pavlos White (Halkidiki),White Blend,Tsantali
Italy,theres distinctly mineral almost ashen quality wine recall talcum powder schoolroom chalkboard wine linear define pungent almost sharp effervescence dry minerals close keep palate polish clean ,Desiderio Jeio Brut,86,17.0,Veneto,Prosecco del Veneto,,,,Bisol NV Desiderio Jeio Brut  (Prosecco del Veneto),Prosecco,Bisol
Italy,prosecco extra dry subtle easy approach measure fruit intensity recognizable sweetness form silky honey melon offer good measure clean effervescence chewy fruit keep go ,Extra Dry,86,15.0,Veneto,Prosecco di Conegliano,,,,Carmina NV Extra Dry  (Prosecco di Conegliano),Prosecco,Carmina
Italy,delicate sweet pretty prosecco offer delicate floral note shade banana exotic fruit light foamy mouth full soft texture sensual sweetness close ,Cuvée Oro Dry,86,20.0,Veneto,Prosecco di Conegliano,,,,Carpenè Malvolti NV Cuvée Oro Dry  (Prosecco di Conegliano),Prosecco,Carpenè Malvolti
Italy,simple peach aromas characterize prosecco dry creamy frothy cap pretty bubble measure aromas fruit salad kiwi wine come alive mouth thank pretty mineral tone generous fruity sweetness make lateharvest prosecco grapes ,Servo Suo Dry Vendemmia Tardiva,86,19.0,Veneto,Prosecco di Valdobbiadene,,,,Col Saliz NV Servo Suo Dry Vendemmia Tardiva  (Prosecco di Valdobbiadene),Prosecco,Col Saliz
US,gallo twocounty blend real elegance style cab dry soft fullbodied linger blackberry currant licorice spice flavor drink ,,86,23.0,California,Napa-Sonoma,Napa-Sonoma,,,Ghost Pines 2005 Cabernet Sauvignon (Napa-Sonoma),Cabernet Sauvignon,Ghost Pines
US,peppery spice briary brambly note ripe wild berry wine taste like zinfandel merlot true variety solid red wine dry fullbodied ,Estate,86,18.0,California,Sonoma Valley,Sonoma,,,Wellington 2004 Estate Merlot (Sonoma Valley),Merlot,Wellington
Italy,clean pristine prosecco brut measure distinct note white peach acacia flower chop kiwi wine taste creamy slightly sweet chewy peach flavor make perfect aperitif wine ,Special Cuvée Brut,86,13.0,Veneto,Prosecco del Veneto,,,,Zonin NV Special Cuvée Brut  (Prosecco del Veneto),Prosecco,Zonin
US,keep winerys red wine release cedarosa match tart berry fruit lush barrel flavor butter toast approachable somewhat monolithic ,Cedarosa,86,26.0,Washington,Columbia Valley (WA),Columbia Valley,Paul Gregutt,@paulgwine ,Lost River 2005 Cedarosa Red (Columbia Valley (WA)),Bordeaux-style Red Blend,Lost River
Italy,tonic lean foamy sparkler deliver aromas stone fruit honey yellow flower delicate feminine wine characteristic almondlike sourness close ,Millesimato Extra Brut,86,13.0,Veneto,Prosecco del Veneto,,,,Toffoli 2007 Millesimato Extra Brut  (Prosecco del Veneto),Prosecco,Toffoli
Argentina,apricot oak aromas make smoky slightly heavy bouquet wine keep weightiness pass nectarine citrus tropical fruit long finish integrity also bite citric center “pulpy” another descriptor ,Broquel,86,17.0,Mendoza Province,Mendoza,,Michael Schachner,@wineschach,Trapiche 2007 Broquel Chardonnay (Mendoza),Chardonnay,Trapiche
Germany,despite weigh 12 alcohol seem light body sweet style honey pineapple aromas flavor apple skin lime finish stridently dusty texture ,Niersteiner Bergkirche Kabinett,86,20.0,Rheinhessen,,,Joe Czerwinski,@JoeCz,Louis Guntrum 2006 Niersteiner Bergkirche Kabinett Riesling (Rheinhessen),Riesling,Louis Guntrum
US,little heavy ripe pinot noir bottle show piefilling flavor cherries blackberry currants candy chocolatecovered mint sweetness also seem overly soft drink ,Durell Vineyard,86,48.0,California,Sonoma Coast,Sonoma,,,Pali 2006 Durell Vineyard Pinot Noir (Sonoma Coast),Pinot Noir,Pali
US,stemmlers record spotty bottle 05 little ripe soft heavy chocolateinspired red currant cola licorice flavor lipsmackingly good ,Nugent Vineyard,86,40.0,California,Russian River Valley,Sonoma,,,Robert Stemmler 2005 Nugent Vineyard Pinot Noir (Russian River Valley),Pinot Noir,Robert Stemmler
Argentina,toast char sit atop bouquet like heavy king throne theres nothing fake weak color dark palate round flavor black plum figs black olives convey meaty true personality amid char chocolate vanilla good wine massive category valuepriced merlot ,Trumpeter,86,12.0,Mendoza Province,Mendoza,,Michael Schachner,@wineschach,Rutini 2006 Trumpeter Merlot (Mendoza),Merlot,Rutini
Austria,fresh crisp citrus floral flavor make light easy grüner veltliner great summer drink light white fruit green berry screwcap ,Koenigsegg Velt. 1,86,12.0,Burgenland,,,Roger Voss,@vossroger,Schloss Halbturn 2006 Koenigsegg Velt. 1 Grüner Veltliner (Burgenland),Grüner Veltliner,Schloss Halbturn
Italy,textbook prosecco extra dry sweet fragrances stone fruit white flower back mineral shade delicious honey wine simple lively acidity close ,Col del Sas Extra Dry,86,18.0,Veneto,Prosecco di Valdobbiadene,,,,Spagnol NV Col del Sas Extra Dry  (Prosecco di Valdobbiadene),Prosecco,Spagnol
Portugal,make old vines rich rosé full fruit fine acidity well wildstrawberry flavor texture lightly mineral give wine crisp tight shape fresh aftertaste wine right food ,Lua Cheia em Vinhas Velhas,88,14.0,Douro,,,Roger Voss,@vossroger,Wines & Winemakers 2015 Lua Cheia em Vinhas Velhas Rosé (Douro),Rosé,Wines & Winemakers
Argentina,aromas blackberry briar patch expand include violet note mouth theres pulpy weight fruit rubbery tannins frame rugged generic blackfruit flavor finish toasty darkness burn ,Reserve Estate Grown,88,19.0,Mendoza Province,Valle de Uco,,Michael Schachner,@wineschach,Zolo 2014 Reserve Estate Grown Cabernet Sauvignon (Valle de Uco),Cabernet Sauvignon,Zolo
France,pack red fruit crisp acidity lively wine tight mousse redcurrant fruitiness add intense acidity wine bright ready drink ,La Burgondie Rosé Brut,88,10.0,Burgundy,Crémant de Bourgogne,,Roger Voss,@vossroger,Bailly-Lapierre NV La Burgondie Rosé Brut  (Crémant de Bourgogne),Sparkling Blend,Bailly-Lapierre
US,honeylike aromas ripe peach apple flavor rather full body give wine good depth breadth seem like thing picnic serve cheese party ,,88,26.0,California,Anderson Valley,,Jim Gordon,@gordone_cellars,Balo 2014 Pinot Gris (Anderson Valley),Pinot Gris,Balo
Italy,aromas suggest dry rise petal woodland berry chop mint kitchen spice come together tight palate isnt quite expressive nose offer sour cherry tart cranberry hint cleave alongside brace tannins grip finish ,Montersino,88,50.0,Piedmont,Barbaresco,,Kerin O’Keefe,@kerinokeefe,Bel Colle 2013 Montersino  (Barbaresco),Nebbiolo,Bel Colle
Australia,beyond hint stick flint nose offer clean varietally correct aromas flavor white nectarine grapefruit gooseberry nicely balance middle spectrum offer harmonious mix stone fruit citrus ,Beacon Hill,88,13.0,South Australia,South Australia,,Joe Czerwinski,@JoeCz,Beresford 2014 Beacon Hill Sauvignon Blanc (South Australia),Sauvignon Blanc,Beresford
Italy,underbrush sing earth mature darkskinned fruit balsamic note emerge glass ripe firm palate show mocha black raspberry licorice well slightly green note raw sage backbone brace tannins provide tight framework ,Margheria,88,49.0,Piedmont,Barolo,,Kerin O’Keefe,@kerinokeefe,Boasso 2012 Margheria  (Barolo),Nebbiolo,Boasso
Italy,open aromas oak toast espresso carry firmly structure palate along herb dry black cherry austere tannins clench finish ,I Tre Pais,88,50.0,Piedmont,Barolo,,Kerin O’Keefe,@kerinokeefe,Broccardo 2012 I Tre Pais  (Barolo),Nebbiolo,Broccardo
Portugal,rich full wine swathe black fruit dry core around generous fruit right amount acidity perfume ripe concentrate ready drink ,Herdade dos Machados Reserva,88,19.0,Alentejo,,,Roger Voss,@vossroger,Casa Agricola Santos Jorge 2012 Herdade dos Machados Reserva Red (Alentejo),Portuguese Red,Casa Agricola Santos Jorge
France,tangy wine attractive acidity tightly coil mineral texture apple lemon flavor shoot right bright crisp texture drink 2017 ,,88,14.0,Burgundy,Mâcon-Villages,,Roger Voss,@vossroger,Cave des Vignerons de Buxy 2014  Mâcon-Villages,Chardonnay,Cave des Vignerons de Buxy
Turkey,winery specialize rare variety single varietal papaskarasi nose cherry strawberry freesia bright entry smooth tannins sense coolness take palate among flavor cherry menthol cranberry juniper berry ,,88,20.0,Thrace,,,Mike DeSimone,@worldwineguys,Chamlija 2014 Papaskarasi (Thrace),Papaskarasi,Chamlija
France,vines northern part appellation ripe wine convey peach apricots lace lime vibrant mineral wine swathe fresh acidity drink ,,88,28.0,Burgundy,Saint-Véran,,Roger Voss,@vossroger,Château de Fuissé 2014  Saint-Véran,Chardonnay,Château de Fuissé
France,rich wine full good balance acidity fruit lightly mineral texture give bite crispness still young tight wine need another months drink 2017 ,,88,70.0,Burgundy,Chassagne-Montrachet,,Roger Voss,@vossroger,Château de Santenay 2014  Chassagne-Montrachet,Chardonnay,Château de Santenay
US,crisp greenapple freshness blend hint butter vanilla nicely balance unoaky mediumbodied wine reasonable price ,,88,13.0,California,California,California Other,Jim Gordon,@gordone_cellars,Chime 2013 Chardonnay (California),Chardonnay,Chime
France,spicy fruity attractive balance wine acidity tight minerality yellow fruit richer texture full body generous age well drink 2017 ,Vers Cras,88,40.0,Burgundy,Pouilly-Fuissé,,Roger Voss,@vossroger,Christophe Cordier 2014 Vers Cras  (Pouilly-Fuissé),Chardonnay,Christophe Cordier
France,make drink young soft ripe fruity wine juicy blackberry flavor plenty acidity soft smooth aftertaste drink 2017 ,Aramis Rouge Tannat-Syrah,88,10.0,France Other,Vin de France,,Roger Voss,@vossroger,Famille Laplace 2015 Aramis Rouge Tannat-Syrah Tannat-Syrah (Vin de France),Tannat-Syrah,Famille Laplace
Argentina,olive saucy berry sense rawness nose drive malbec towards solid slightly scratchy feel palate plum blackberry minty oak flavor short lightly herbal end without much force ,,88,16.0,Mendoza Province,Mendoza,,Michael Schachner,@wineschach,Finca Lalande 2015 Malbec (Mendoza),Malbec,Finca Lalande
Argentina,rubbery gaseous initial aromas give way piquant redfruit note feel lean racy high acidity limit flavor currant tomato salty red plum finish herbal note persistent saltiness well abrasive acidity ,Appellation Gualtallary,87,40.0,Mendoza Province,Mendoza,,Michael Schachner,@wineschach,Altos Las Hormigas 2013 Appellation Gualtallary Malbec (Mendoza),Malbec,Altos Las Hormigas
